names.geno	Entry	Lines	stp2012	crk2012	crk2012.sev	crk2012.it	crk2012.coi	stp2013	stp2013.sev	stp2013.it	stp2013.coi	stp2014	stp2015	Race1	CA1.2	Field Mix	Flower2014	Hdg2015	Hdg_avg
RL6003	TcLr 1	RL 6003	80S	60S	60	1.0	60.0	70S	70	1.0	70.0	70S	80S	;	;	3+	6	6	6
RL6016	TcLr 2a	RL 6016	70S	60S	60	1.0	60.0	50S	50	1.0	50.0	70S	60S	;	;	3+	6	4	5
RL6019	TcLr 2b	RL 6019	80S	60S	60	1.0	60.0	70S	70	1.0	70.0	80S	80S	;	;	3+	6	5	5.5
RL6047	TcLr 2c	RL 6047	80S	60S	60	1.0	60.0	60S	60	1.0	60.0	70S	70S	;1	2	3+	6	12	9
RL6002	TcLr 3	RL 6002	80S	60S	60	1.0	60.0	70S	70	1.0	70.0	80S	80S	;1	;1	4	6	12	9
RL6042	TcLr 3bg	RL 6042	40MS	70S	70	1.0	70.0	60S	60	1.0	60.0	70S	60S	;	;1	3+	6	7	6.5
RL6007	TcLr 3ka	RL 6007	25MS	60S	60	1.0	60.0	30MRMS	30	0.53	15.9	70MSS	60MSS	;2	;2	3+;	6	7	6.5
RL6010	TcLr 9	RL 6010	15S	20MS	20	0.8	16.0	30S	30	1.0	30.0	50S	50S	0;	0;	3+;	8	7	7.5
RL6004	TcLr 10	RL 6004	70S	60S	60	1.0	60.0	80S	80	1.0	80.0	70S	90S	;1	-	3+	6	7	6.5
RL6053	TcLr 11	RL 6053	50MS	60S	60	1.0	60.0	60MSS	60	0.87	52.2	60MSS	50MRMS	2+	;1	3	6	5	5.5
RL6011	TcLr 12	RL 6011	80S	60S	60	1.0	60.0	80S	80	1.0	80.0	70S	80S	3+	3+	3+	6	4	5
RL4031	TcLr 13	RL 4031	75S	60S	60	1.0	60.0	50MRMS	50	0.53	26.5	70S	70MSS	3+	22+	4	6	6	6
RL6013	TcLr 14a	RL 6013	80S	60S	60	1.0	60.0	80S	80	1.0	80.0	70S	80S	3+	;1	4	6	6	6
