names.geno	Entry	Lines	stp2012	crk2012	stp2013	stp2014	stp2015	Race1	CA1.2	Field.Mix	Flower2014	Hdg2015	Hdg_avg	stp2013.sev	stp2013.it	stp2013.coi	stp2015.sev	stp2015.it	stp2015.coi
RL6003	TcLr 1	RL 6003	80S	60S	70 S	70S	80S	;	;	3+	6	6	6	70	1	70	80	1	80
RL6016	TcLr 2a	RL 6016	70S	60S	50 S	70S	60S	;	;	3+	6	4	5	50	1	50	60	1	60
RL6019	TcLr 2b	RL 6019	80S	60S	70 S	80S	80S	;	;	3+	6	5	5.5	70	1	70	80	1	80
RL6047	TcLr 2c	RL 6047	80S	60S	60 S	70S	70S	;1	2	3+	6	12	9	60	1	60	70	1	70
RL6002	TcLr 3	RL 6002	80S	60S	70 S	80S	80S	;1	;1	4	6	12	9	70	1	70	80	1	80
RL6042	TcLr 3bg	RL 6042	40MS	70S	60 S	70S	60S	;	;1	3+	6	7	6.5	60	1	60	60	1	60
RL6007	TcLr 3ka	RL 6007	25MS	60S	30 MRMS	70MSS	60MSS	;2	;2	3+;	6	7	6.5	30	0.53	15.9	60	0.87	52.2
RL6010	TcLr 9	RL 6010	15S	20MS	30 S	50S	50S	0;	0;	3+;	8	7	7.5	30	1	30	50	1	50
RL6004	TcLr 10	RL 6004	70S	60S	80 S	70S	90S	;1	-	3+	6	7	6.5	80	1	80	90	1	90
RL6053	TcLr 11	RL 6053	50MS	60S	60 MSS	60MSS	50MRMS	2+	;1	3	6	5	5.5	60	0.87	52.2	50	0.53	26.5
RL6011	TcLr 12	RL 6011	80S	60S	80 S	70S	80S	3+	3+	3+	6	4	5	80	1	80	80	1	80
RL4031	TcLr 13	RL 4031	75S	60S	50 MRMS	70S	70MSS	3+	22+	4	6	6	6	50	0.53	26.5	70	0.87	60.9
RL6013	TcLr 14a	RL 6013	80S	60S	80 S	70S	80S	3+	;1	4	6	6	6	80	1	80	80	1	80
RL6006	TcLr 14b	RL 6006	35MRMS	70S	50 MSS	35MSS	70MSS	3+	3+	3+	6	12	9	50	0.87	43.5	70	0.87	60.9
RL6052	TcLr 15	RL 6052	80S	70S	70 S	75RS	80S	3+	-	3+	6	12	9	70	1	70	80	1	80
RL6005	TcLr 16	RL 6005	50MS	50S	60 MSS	70MS	60MSS	;2	2	2+	6	6	6	60	0.87	52.2	60	0.87	52.2
RL6008	TcLr 17	RL 6008	20MS	50MRMS	60 MSS	70S	70MSS	;1-	;12	3+	6	12	9	60	0.87	52.2	70	0.87	60.9
RL6009	TcLr 18	RL 6009	10MRS	5R	10 RMR	5R	20RMR	3+	22+	;2+	6	12	9	10	0.27	2.7	20	0.27	5.4
RL6040	TcLr 19	RL 6040	TR	TR	TR	TR	TR	;	0;	0;	6	12	9	2	0.2	0.4	2	0.2	0.4
RL6092	TcLr 20	RL 6092	40S	50S	60 MSS	50S	60MSS	3+	3+	3+	6	12	9	60	0.87	52.2	60	0.87	52.2
RL6043	TcLr 21	RL 6043	10RMR	20S	40 MRS	40MRMS	50MS	;12-	;	3+;	6	12	9	40	0.6	24	50	0.8	40
