names.geno	Entry	Lines	stp2012	stp2012.sev	stp2012.it	stp2012.coi	crk2012	crk2012.sev	crk2012.it	crk2012.coi	stp2013	stp2013.sev	stp2013.it	stp2013.coi	stp2014	stp2014.sev	stp2014.it	stp2014.coi	stp2015	stp2015.sev	stp2015.it	stp2015.coi	Race1	CA1.2	Field Mix	Flower2014	Hdg2015	Hdg_avg
RL6003	TcLr 1	RL 6003	80S	80.00	1.00	80.00	60S	60.00	1.00	60.00	70 S	70.00	1.00	70.00	70S	70.00	1.00	70.00	80S	80.00	1.00	80.00	;	;	3+	6	6	6
RL6016	TcLr 2a	RL 6016	70S	70.00	1.00	70.00	60S	60.00	1.00	60.00	50 S	50.00	1.00	50.00	70S	70.00	1.00	70.00	60S	60.00	1.00	60.00	;	;	3+	6	4	5
RL6019	TcLr 2b	RL 6019	80S	80.00	1.00	80.00	60S	60.00	1.00	60.00	70 S	70.00	1.00	70.00	80S	80.00	1.00	80.00	80S	80.00	1.00	80.00	;	;	3+	6	5	5.5
RL6047	TcLr 2c	RL 6047	80S	80.00	1.00	80.00	60S	60.00	1.00	60.00	60 S	60.00	1.00	60.00	70S	70.00	1.00	70.00	70S	70.00	1.00	70.00	;1	2	3+	6	12	9
RL6002	TcLr 3	RL 6002	80S	80.00	1.00	80.00	60S	60.00	1.00	60.00	70 S	70.00	1.00	70.00	80S	80.00	1.00	80.00	80S	80.00	1.00	80.00	;1	;1	4	6	12	9
RL6042	TcLr 3bg	RL 6042	40MS	40.00	0.80	32.00	70S	70.00	1.00	70.00	60 S	60.00	1.00	60.00	70S	70.00	1.00	70.00	60S	60.00	1.00	60.00	;	;1	3+	6	7	6.5
RL6007	TcLr 3ka	RL 6007	25MS	25.00	0.80	20.00	60S	60.00	1.00	60.00	30 MRMS	30.00	0.53	15.90	70MSS	70.00	0.87	60.90	60MSS	60.00	0.87	52.20	;2	;2	3+;	6	7	6.5
RL6010	TcLr 9	RL 6010	15S	15.00	1.00	15.00	20MS	20.00	0.80	16.00	30 S	30.00	1.00	30.00	50S	50.00	1.00	50.00	50S	50.00	1.00	50.00	0;	0;	3+;	8	7	7.5
RL6004	TcLr 10	RL 6004	70S	70.00	1.00	70.00	60S	60.00	1.00	60.00	80 S	80.00	1.00	80.00	70S	70.00	1.00	70.00	90S	90.00	1.00	90.00	;1	-	3+	6	7	6.5
RL6053	TcLr 11	RL 6053	50MS	50.00	0.80	40.00	60S	60.00	1.00	60.00	60 MSS	60.00	0.87	52.20	60MSS	60.00	0.87	52.20	50MRMS	50.00	0.53	26.50	2+	;1	3	6	5	5.5
RL6011	TcLr 12	RL 6011	80S	80.00	1.00	80.00	60S	60.00	1.00	60.00	80 S	80.00	1.00	80.00	70S	70.00	1.00	70.00	80S	80.00	1.00	80.00	3+	3+	3+	6	4	5
RL4031	TcLr 13	RL 4031	75S	75.00	1.00	75.00	60S	60.00	1.00	60.00	50 MRMS	50.00	0.53	26.50	70S	70.00	1.00	70.00	70MSS	70.00	0.87	60.90	3+	22+	4	6	6	6
RL6013	TcLr 14a	RL 6013	80S	80.00	1.00	80.00	60S	60.00	1.00	60.00	80 S	80.00	1.00	80.00	70S	70.00	1.00	70.00	80S	80.00	1.00	80.00	3+	;1	4	6	6	6
RL6006	TcLr 14b	RL 6006	35MRMS	35.00	0.53	18.55	70S	70.00	1.00	70.00	50 MSS	50.00	0.87	43.50	35MSS	35.00	0.87	30.45	70MSS	70.00	0.87	60.90	3+	3+	3+	6	12	9
RL6052	TcLr 15	RL 6052	80S	80.00	1.00	80.00	70S	70.00	1.00	70.00	70 S	70.00	1.00	70.00	75RS	75.00	0.47	35.25	80S	80.00	1.00	80.00	3+	-	3+	6	12	9
RL6005	TcLr 16	RL 6005	50MS	50.00	0.80	40.00	50S	50.00	1.00	50.00	60 MSS	60.00	0.87	52.20	70MS	70.00	0.80	56.00	60MSS	60.00	0.87	52.20	;2	2	2+	6	6	6
RL6008	TcLr 17	RL 6008	20MS	20.00	0.80	16.00	50MRMS	50.00	0.53	26.50	60 MSS	60.00	0.87	52.20	70S	70.00	1.00	70.00	70MSS	70.00	0.87	60.90	;1-	;12	3+	6	12	9
